code,codeShow,title,brand,platform,modes,delivery,version,date,author,status,purpose,overview,roles,exceptions
SOP-SP-PG-001,,蝦皮寄銷－竹運出貨流程,PG,蝦皮,寄銷,竹運,V1.0,2025/12/08,林佳慧,,建立標準化的蝦皮寄銷出貨流程，確保補貨作業正確、文件齊全並能有效追蹤，以降低錯誤率並提升作業效率。,業務群組通知確認採購單 → 後台下載採購單 → 下採 → 匯出檔案 → 製作出貨檔案 → 核對竹運庫存及效期 → 系統拋單 → 發信,"業務｜發送補貨通知、提供補貨明細
企劃｜依照流程執行補貨、文件處理與系統拋單",
SOP-YH-PG-001,,雅虎寄銷－竹運出貨流程,PG,雅虎,"寄銷,領用",竹運,V1.0,2025/09/22,杜孟涵,,建立標準化的雅虎寄銷出貨流程，確保補貨作業正確、文件齊全並能有效追蹤，以降低錯誤率並提升作業效率。,業務通知 → 建立補貨資料夾 → 後台查詢進倉單 → 匯出檔案 → 核對竹運庫存 → 系統拋單 → 自編碼確認 → 文件檢查 → 發信,"業務｜發送補貨通知、提供補貨明細
企劃｜依照流程執行補貨、文件處理與系統拋單","發現缺貨：立即回報業務，並更新補貨檔案。
有效期問題無法出貨，需下修數量（重新拋單）或不出。
缺貨需刪單(按僅顯示供應商可申請取消的進倉單即可刪除)，缺部分數量可不理會，整張單都缺才刪單。
指定進倉日前後一天都可以到貨。"
SOP-YH-PG-002,,雅虎寄銷－直送出貨流程,PG,雅虎,"寄銷,領用",直送,V1.0,2025/10/14,杜孟涵,,建立標準化的雅虎寄銷出貨流程（廠商直送），確保補貨作業正確、文件齊全並能有效追蹤。,業務通知 → 建立補貨資料夾 → 後台查詢進倉單 → 匯出檔案 → 製作採購單及匯入檔 → EIP上傳採購單 → 發信 → 核單確認缺貨刪單 → 下載進倉單及嘜頭 → 自編碼確認 → 文件檢查 → 發信,"業務｜發送補貨通知、提供補貨明細
企劃｜依照流程執行補貨、文件處理與系統拋單","有缺貨需刪單(按僅顯示供應商可申請取消的進倉單即可刪除)，缺部分數量可不理會，整張單都缺才刪單。
指定進倉日前後一天都可以到貨。"
SOP-YFS-EC-001,,外倉盤點作業流程,通用,通用,,－,V1.0,2025/04/21,杜孟涵,,規範外倉盤點作業流程，確保庫存資料正確、盤點紀錄完整，並提升財務帳務及庫存管理之準確性與一致性。,盤點規劃與通知 → 確認盤點時程與人員安排 → 執行外倉盤點作業（含寄銷倉）→ 盤點簽署與文件回收 → 差異處理與報表對帳,"PM｜確認盤點人員安排
營管｜統籌盤點規劃、協調財務與IT部門
財務部｜陪同實盤及確認帳差原因並追蹤至結案
IT部門｜盤點當日撈取Oracle系統庫存報表，協助對帳
盤點人員(KA)｜確認盤點日期、執行現場盤點、確認實盤與帳面一致","盤點過程系統與實盤差距過大，立即通知PM與財務確認。
外倉無法配合或人員異動影響時程，負責窗口應重新安排。"
SOP-YFS-EC-002,,加工組裝作業流程（含貼標改包）,通用,通用,,－,V1.0,2025/08/22,杜孟涵,,規範派工組裝流程，確保作業一致性與可追溯性，避免溝通落差與加工異常。,業務填寫派工單 → 物流回覆報價及時程 → 業務提出流通加工申請 → 系統核准後物流執行 → 加工完成與回饋 → 業務確認結案,"業務｜提出派工申請、確認報價與打樣、提出加工申請與結案確認
物流｜回覆報價、安排加工作業、回覆進度與提供加工紀錄
採購｜提供入庫單號、協助包材採購作業","加工過程包材不足或異常，物流立即通知業務協調。
加工進度延誤超過預期一週以上，須回報主管與業務。
貼標示意圖不清楚，物流退回業務確認修正。
加工數量與派工單不符，立即回報業務確認後再作業。
業務需確認竹運主檔是否已建立完成。"
SOP-YFS-EC-003-逆物流,,逆物流作業流程（退貨）,通用,通用,"寄銷,買斷",－,V1.0,2025/08/22,杜孟涵,,建立逆物流（退貨）作業之標準流程，確保退貨資訊完整、處理正確、部門協作順暢，並避免對帳與庫存產生異常。涵蓋寄銷、買斷、進貨驗退、廠退、消費者退貨。,退貨分類 → 進貨驗退 → 退廠處理 → 消費者退貨 → 對帳與異常處理,"企劃專員｜登錄退貨資訊、申請系統退貨、跨部門協調、處理對帳更正
物流｜收退作業、驗入退貨、寄回原廠或倉庫、退貨通知
業務｜確認通路異常、申請退廠
採購｜處理原廠直出訂單的拒收/退回與折讓、調整進貨數量
財務｜折讓、發票開立、對帳異常處理","特殊退貨須由業務、企劃、物流、財務跨部門確認後執行。
涉及帳務異常由財務協助折讓、發票開立。
派車收退需附收退商品資訊、倉庫資料與廠商自取單。
所有退貨資料須即時登錄於「公槽退貨表單」，確保各部門同步掌握。"
SOP-YFS-EC-003-寄銷退貨,,寄銷通路退貨作業流程,通用,通用,寄銷,－,V1.0,2025/08/22,杜孟涵,,建立逆物流（退貨）作業之標準流程，確保退貨資訊完整、處理正確、部門協作順暢，並避免對帳與庫存產生異常。適用於寄銷通路之廠退與客直退流程。,通路退貨資訊蒐集 → 退貨資料登錄（企劃）→ 採購開立入庫單 → 物流驗收入庫 → 企劃資料檢核與補登 → 財務與企劃月底對帳,"企劃專員｜每日確認各通路退貨資訊並登錄、檢查退貨雲端表格並追蹤異常、協助財務釐清對帳
採購｜每日依退貨資訊開立入庫單
物流｜依入庫單驗收入庫、填寫退貨商品明細至雲端
財務｜月底進行退貨對帳、異常轉交企劃確認","退貨資料與實際退貨不符 → 物流回報企劃與採購。
對帳資料有疑義 → 財務通知企劃釐清。
退貨商品遺失或短少 → 依公司異常品項流程處理。"
YFS-EC-SOP-001,,EIP 申請庫存調整步驟,通用,通用,,－,V1.0,—,—,,規範於永豐商店 EIP 系統申請庫存調整（盤盈／盤虧／移倉）之操作步驟；常見情境如退貨入不良品倉後之盤盈調整。,進入 EIP 申請表單 → 結帳/促銷/請款 → 庫存調整申請單 → 選擇異動類型與異動類別 → 選擇異動倉庫 → 填寫庫存差異調整報表 → 送出申請,,
SOP-BK-CPG-001,,博客來－直送出貨作業流程,CPG,博客來,寄銷,直送,V1.0,2025/11/27,柯秋依,,建立標準化的博客來出貨流程（原廠直送），確保入庫、補貨與拋檔作業正確，並降低錯誤率。,業務通知 → 建立資料夾與出貨文件 → 收取訂單與匯出明細 → 製作採購單及匯入檔 → EIP上傳採購單 → 發信 → 核單確認缺貨 → 修改出貨數量 → 列印採購單與出貨資料 → 列印外箱嘜頭 → 發送出貨文件,"業務｜提供補貨資料，指定到貨日期
企劃(OP)｜依據流程處理入庫、出貨單及系統拋檔",
SOP-MO-CPG-001,,MOMO 寄銷出貨流程,CPG,MOMO,寄銷,直送,V1.0,2025/10/14,柯秋依,,建立標準化的momo寄銷出貨流程，確保補貨作業正確、文件齊全並能有效追蹤，以降低錯誤率並提升作業效率。,業務通知 → 製作上傳表及出貨檔案入庫憑單 → 上傳EIP系統 → 發信給採購 → 待採購提供商品效期，後台抓取嘜頭跟二聯單 → 發信出貨文件與共網登記,"業務｜發送補貨通知、提供補貨明細
企劃(OP)｜依照流程執行補貨、文件處理與系統拋單",若缺貨、運能滿，採購會另外通知，業務須改量、改期、改倉等。
SOP-PC-CPG-001,,PCHOME 寄銷－原廠直出流程,CPG,PCHOME,寄銷,直送,V1.0,2025/10/29,柯秋依,,規範PCHOME出貨作業流程，確保寄銷出貨執行一致性，降低錯誤並提升作業效率。,業務補貨通知 → 製作上傳表及借貨檔 → 上傳EIP系統 → 發信給採購 → 待採購提供CPG單號，後台抓取嘜頭&入庫通知單 → 發信出貨文件與共網登記,"業務｜提供補貨資料、確認到貨日
採購｜下採單、發信通知缺貨
企劃(OP)｜建資料夾、製作/修改採購單與上傳檔、上傳EIP系統、下載嘜頭、通知出貨",
SOP-SP-CPG-001,,蝦皮寄銷－竹運出貨流程,CPG,蝦皮,寄銷,竹運,V1.0,2025/10/03,張富淳,,建立標準化的蝦皮寄銷出貨流程，確保補貨作業正確、文件齊全並能有效追蹤，以降低錯誤率並提升作業效率。,業務通知 → 建立補貨資料夾 → 製作竹運B單 → 下載入庫單 → 核對竹運庫存 → 系統拋單 → 文件檢查 → 發信,"業務｜發送補貨通知、提供補貨明細
企劃｜依照流程執行補貨、文件處理與系統拋單","改期及缺貨都需通知蝦皮更新入庫單。
任何變動都須於入庫日2個工作日前提出，避免罰款。"
SOP-UB-CPG-001,,優食（UberEats）－直送買斷出貨流程,CPG,UberEats,買斷,直送,V1.0,2025/11/25,黃千容,,建立標準化的優食直出出貨流程，確保補貨作業正確、文件齊全並能有效追蹤，以降低錯誤率並提升作業效率。,業務通知 → 建立補貨資料夾 → 製作訂單 → 核對下單金額 → EIP下採 → 文件檢查 → 發信,"業務｜確認各店家補貨通知、提供補貨明細
企劃｜依照流程執行補貨、文件處理與通知匯入",若有新舊料號，需通知EMMA取消後再提供正確文件。
SOP-YH-CPG-001-東森,,東森－直送寄銷出貨流程,CPG,東森,寄銷,直送,V1.0,2025/10/29,張富淳,,建立標準化的東森寄銷出貨流程，確保補貨作業正確、文件齊全並能有效追蹤，以降低錯誤率並提升作業效率。,業務通知 → 建立補貨資料夾 → 製作入庫指示書 → EIP下採 → 文件檢查 → 發信,"業務｜發送補貨通知、提供補貨明細
企劃｜依照流程執行補貨、文件處理與系統拋單",若缺貨，採購會通知業務，雲端紀錄即可。
SOP-YH-CPG-001-雅虎,,雅虎－直送寄銷出貨流程,CPG,雅虎,寄銷,直送,V1.0,2025/10/02,張富淳,,建立標準化的雅虎寄銷出貨流程，確保補貨作業正確、文件齊全並能有效追蹤，以降低錯誤率並提升作業效率。,業務通知 → 建立補貨資料夾 → 製作進倉單及嘜頭 → 自編碼下載 → EIP下採 → 文件檢查 → 發信,"業務｜發送補貨通知、提供補貨明細
企劃｜依照流程執行補貨、文件處理與系統拋單","若缺貨，採購會通知業務，可雲端紀錄。
指定進倉日前後一天都可以到貨；如有變動則入庫單需重開重抓。"
SOP-ET-EC-001,,東森－退廠作業流程,跨品類,東森,,－,V1.0,2025/12/02,朱昱靜,,規範東森平台退廠作業流程，使作業標準化、準確且有效率，並確保退廠紀錄完整與物流安排順暢。,收到退廠通知 → 回壓退廠日期 → 等待東森回覆 → 系統退廠作業 → 下載退廠單PDF → 發信給東森物流 → 確認回覆 → 登記內部資料 → 退貨異常處理,"企劃｜退廠流程操作、資料記錄與異常處理
物流聯繫窗口｜派車安排、自取協作
倉庫人員｜接收退回商品與確認狀況
東森窗口｜退廠通知","商品異常 → 留意退貨異常登記表並回覆處理。
東森聯絡窗口：陳淑婷 (02)2943-7888#7021 / rene.chen@ehsn.com.tw；楊梅二倉 03-4963068、03-4962859#1117/1118；傳真 03-4962905、03-4962855。"
SOP-GH-EC-001,,遠時（GoHappy）－請款作業流程,跨品類,遠時,,－,V1.0,2026/06/26,張富淳,,建立標準化的遠時對帳及上傳發票作業流程，提升一致性與效率。適用於遠時與公司財務OP帳務核對、上傳請款發票及書信往來確認。,遠時每月結帳兩次（月初7號前、月底28號前）→ 下載對帳單讓財務OP核對 → 財務OP開立電子發票 → 每月9號前上傳發票 → 審核通過遠時當月25號完成付款 → 下載費用發票給財務OP作帳,"財務OP｜依遠時對帳資料開立請款發票
企劃(OP)｜結帳時間內提供財務OP結帳資料，並於時效內上傳請款發票","遠時財務部：電話 (02)7712-3838，聯絡人 Mica徐小姐#13934，Email mica_hsu@friday.tw。
發票寄送：invoice@friday.tw（主旨：供應商請款【供應商編號／名稱】）。"
SOP-SP-EC-001-問答卡片,,蝦皮－問答卡片（客服 FAQ）設定作業流程,跨品類,蝦皮,,－,V1.0,2025/12/03,朱昱靜,,制定蝦皮聊聊問答卡片設定流程，統一客服自動回覆內容，提升訊息回覆效率與一致性，並降低人工客服負擔。,收集常見問題 → 整理成標準問答 → 編輯成問答卡片格式 → 上傳至蝦皮後台（聊聊自動問答設定）→ 定期檢查並更新內容,企劃｜編輯、更新問答卡片內容，確保資訊正確；依卡片內容補充回覆客戶、處理非自動回覆範圍問題,"問答卡片未自動彈出 → 檢查蝦皮後台是否有啟用。
客戶反應無法理解 → 客服需補充解說。
內容過期（促銷、物流延遲）→ 立即更新話術。"
SOP-SP-EC-001-大宗,,蝦皮－大宗訂單作業流程,跨品類,蝦皮,,－,V1.0,2025/12/02,朱昱靜,,規範蝦皮大宗訂單作業流程，確保備貨、出貨與物流安排一致且正確。,確認到貨日、品項、數量、價格、出貨資訊 → 先回壓出貨（蝦皮備貨天數2天）→ 拋單作業與建價日期設定 → 系統訂單備註 → 寄信給物流並提供專車配送需求及訂單資料,"企劃｜與業務確認所有訂單條件、回壓出貨、系統處理、備註撰寫
物流窗口｜安排專車、確認配送日期、回覆配運狀態
倉庫｜依指示備貨並分板，留意效期擺放","顧客要求變更到貨日：需立即同步物流與倉庫。
訂單箱數與品項若與下單實際不符：回報業務與顧客確認。"
SOP-SP-EC-001-未驗入,,蝦皮－店配訂單未驗入作業流程,跨品類,蝦皮,,－,V1.0,2025/10/13,杜孟涵,,規範蝦皮超取訂單未驗入時之處理流程，確保包裹狀態可即時追蹤並妥善完成後續盤點與庫存調整，避免遺失造成營運損失。,發現超取未驗入 → 聯繫蝦皮社群小編 → 提供相關出貨與簽收資料 → 等候蝦皮確認包裹狀態 → 若確認遺失 → 業務同意後執行假退入庫與庫調申請,"OP｜發現異常並主導處理，與蝦皮及物流窗口溝通、提出庫調申請
物流｜協助提供出貨紀錄、簽收單及出貨影像資料
業務｜確認遺失狀況並核准後續假退入庫及庫存調整
IT｜協助執行訂單異動及系統調整","若物流無法提供簽收單或影像，須與物流釐清歸責。
若蝦皮拒絕受理異常申報，須通報業務與窗口協調。"
SOP-CP-CP-001-PO確認,SOP-CP-CP-001,酷澎 PO 單確認作業流程,跨品類,酷澎,買斷,－,V2.0,2026/07/23,簡孝真,,酷澎 PO 單狀態由建立至確認(取消)之作業流程，提升一致性與效率。適用於酷澎後台執行 PO 訂單確認(收單)與取消相關作業。,平台建立PO(判別新單/舊單/虛擬) → 檢視PO類型(一般/NS收單時效不同) → 修改退貨資訊 → 新PO匯入我司酷澎採購入庫處理系統 → 通知同仁分線別拉取 → PO彙總統合 → 依回覆於時效內更改PO狀態及內容(日期/數量/倉別) → 後台公告(嘜頭/進倉規範/倉庫位置)更新需通知相關同仁,"業務/專員｜確認訂單明細調整與整合需求
企劃(OP)｜執行平台後台系統操作，檢核執行PO並避免逾時確認(取消與確認PO)",有任何問題請於 Supplier Hub 供應商管理系統右上角【線上諮詢】依類別提出詢問。
SOP-CP-CP-001-PO調整,SOP-CP-CP-001,酷澎 PO 單調整(審核)作業流程,跨品類,酷澎,買斷,－,V1.0,2025/10/17,簡孝真,,酷澎 PO 單確認後之申請調整/審核(取消)作業流程，提升一致性與效率。適用於 PO 訂單確認(收單)後的調整(取消)審核作業。,PO確認 → 依需求調整PO(日期/數量/倉別) → PO資料彙整 → 管理供應狀態維護 → 檢視審核是否通過 → 通過則拉PO單及驗收單 → 未通過通知同仁再送審(反覆多遍) → 無法出貨須整張下修不出 → 直到交貨日前一天,"業務/專員｜提出調整訂單明細與需求，或因故確認後無法出貨PO
企劃(OP)｜PO確認後依回覆執行後台操作，申請調整明細或取消不出",有任何問題請於 Supplier Hub 右上角【線上諮詢】依類別提出詢問。
SOP-CP-CP-001-對帳請款,SOP-CP-CP-001,酷澎 對帳及上傳發票請款作業流程,跨品類,酷澎,買斷,－,V1.0,2025/10/07,簡孝真,,建立標準化的酷澎對帳及上傳發票作業流程，提升一致性與效率。適用於酷澎與公司財務OP帳務核對、上傳請款發票/折讓單及書信往來確認。,酷澎每月7日對帳(當月2-3工作日後台即產生對帳清單) → 拉對帳單給財務OP核對(區間:當月1-31日) → 財務OP開立發票(電子/手開三聯式)/折讓單(退貨) → 每月14號前上傳 → 審核通過酷澎月底完成付款 → 三聯式手開發票正本寄酷澎會計部、折讓單正本蓋章後寄回,"財務OP｜依酷澎對帳資料開立請款發票和折讓單
企劃(OP)｜結帳時間內提供財務OP結帳資料，並於時效內上傳請款發票/折讓單","酷澎會計部：發票抬頭 酷澎股份有限公司；統編 91002999；電話 (02)7751-5656 聯絡人蘇小姐#2704；Email chsu5@coupang.com。
發票寄送：台北市松山區民生東路三段156號4樓(宏泰金融大樓)，收件人 會計部，accounting_cptw@coupang.com(主旨註明廠商編號A1580000HD)。"
SOP-CP-CP-001-驗收,SOP-CP-CP-001,酷澎 驗收確認作業流程,跨品類,酷澎,買斷,－,V1.0,2025/10/02,周渝珊、周亭瑜,,建立酷澎驗收確認流程，確保驗收、異常處理與退貨申訴作業正確性，降低風險與錯誤率，並提升作業效率。涵蓋到貨驗收、異常登記、退貨申訴及追蹤。,進貨驗收 → 退貨處理 → 驗收異常申請 → 雲端表單登記 → 退貨入庫(原廠#EM / 竹運#CUP),"酷澎專員｜登記雲端異常、回填驗收追蹤總表、提出異常申訴、通知財務OP及物流退貨資訊、訂單系統壓退
企劃(OP)｜協助退貨做訂單交易更正
業務(KA)｜協調特殊狀況(補單、拒收單等)
財務OP(Emma)｜依驗收結果開立發票、原廠出貨開立退單","未於時限內回覆酷澎退貨通知可能導致延誤，需通知業務及酷澎採購協助。
退貨商品數量或品項有誤，需錄影佐證並申訴。"
SOP-CP-CP-001-PDF簽名,SOP-CP-CPG-001,酷澎 PDF 驗收單批次簽名自動化流程,跨品類,酷澎,,－,V1.1,2026/06/02,周渝珊,自動化工具,導入 Google Colab + Python 自動化工具，將驗收單「出貨確認（廠商簽名）」欄位簽名流程標準化與自動化，改善原本人工逐份貼簽名的方式，提升效率並確保一致性。,Colab設定(僅第一次) → 準備驗收單及簽名圖檔 → 上傳Google Colab → 執行Python自動簽名程式 → 系統搜尋「出貨確認（廠商簽名）」欄位 → 自動插入簽名圖片 → 輸出已簽名PDF → 自動打包ZIP下載 → 存檔歸檔,企劃(OP)｜上傳PDF與執行程式、自動簽名與輸出PDF及結果確認,"找不到簽名欄位 → 確認PDF是否為掃描檔、文字是否為「出貨確認（廠商簽名）」。
簽名未出現 → 確認正確上傳PNG、僅有一個簽名檔。
輸出檔案異常 → 重新開啟Colab並重新執行。"
